latitude,longitude,time
22.6311365,120.3019778,21/11/2025 09:39
22.630826,120.3112968,21/11/2025 09:48
22.6301496,120.3177842,21/11/2025 09:50
22.6294698,120.3275148,21/11/2025 09:50
22.6228529,120.3417418,21/11/2025 10:06
22.6229958,120.3419152,21/11/2025 10:06
22.6232197,120.3429286,21/11/2025 10:21
22.6231721,120.3429206,21/11/2025 10:37
22.6241608,120.3415833,21/11/2025 10:55
22.6275041,120.3341341,21/11/2025 11:07
22.6301496,120.3177842,21/11/2025 11:09
22.6308019,120.3110079,21/11/2025 11:12
22.6322532,120.2997204,21/11/2025 11:35
22.6327592,120.3009649,21/11/2025 11:51
22.6326956,120.3008973,21/11/2025 11:56
22.6326395,120.3004993,21/11/2025 12:12
22.6328573,120.3020139,21/11/2025 12:32
22.6245357,120.3012046,21/11/2025 12:43
22.6137253,120.304809,21/11/2025 12:45
22.6139756,120.3050642,21/11/2025 12:49
22.6156118,120.3067874,21/11/2025 13:04
22.6156115,120.3068003,21/11/2025 13:04
22.6156156,120.3068464,21/11/2025 13:19
22.6155103,120.3068744,21/11/2025 13:35
22.6155195,120.3067855,21/11/2025 13:50
22.6156058,120.3067827,21/11/2025 14:05
22.6155811,120.3067987,21/11/2025 14:20
22.6155975,120.3067844,21/11/2025 23:48
22.6157355,120.3066093,22/11/2025 00:08
22.6155667,120.3067735,22/11/2025 00:23
22.6155674,120.3068023,22/11/2025 01:15
22.6155579,120.3068046,22/11/2025 01:30
22.6155656,120.3068039,22/11/2025 01:55
22.6155183,120.3067907,22/11/2025 02:27
22.6155614,120.3068088,22/11/2025 02:35
22.6155697,120.3067956,22/11/2025 02:41
22.6155748,120.3067876,22/11/2025 02:47
22.6136212,120.3039811,22/11/2025 03:21
22.61232261,120.3026607,22/11/2025 03:24
22.6099466,120.3016535,22/11/2025 03:38
22.6078148,120.2983014,22/11/2025 03:51
22.6077265,120.297424,22/11/2025 03:53
22.6107301,120.2936625,22/11/2025 04:02
22.6106885,120.2943617,22/11/2025 04:08
22.6194537,120.2893743,22/11/2025 04:23
22.6176979,120.2865006,22/11/2025 04:24
22.6201294,120.2728842,22/11/2025 04:39
22.6194521,120.2701657,22/11/2025 04:54
22.6194369,120.2701763,22/11/2025 04:55
22.6194679,120.2698415,22/11/2025 04:57
22.6137589,120.2688497,22/11/2025 05:03
22.6124204,120.2681237,22/11/2025 05:18
22.6119044,120.2678853,22/11/2025 05:28
22.6119075,120.267874,22/11/2025 05:43
22.611529,120.2675109,22/11/2025 06:03
22.6153081,120.2653266,22/11/2025 06:21
22.6128245,120.2636451,22/11/2025 06:37
22.6105013,120.267006,22/11/2025 06:52
22.6056102,120.2711211,22/11/2025 07:06
22.6023839,120.2735859,22/11/2025 07:08
22.6009286,120.2747818,22/11/2025 07:13
22.6011109,120.2741581,22/11/2025 07:24
22.5960172,120.279389,22/11/2025 07:39
22.596061,120.2793779,22/11/2025 07:40
22.574187,120.2965187,22/11/2025 07:59
22.5610338,120.3042657,22/11/2025 08:04
22.5610346,120.3042641,22/11/2025 08:04
22.5761853,120.294855,22/11/2025 08:20
22.5762856,120.2947583,22/11/2025 08:20
22.5756755,120.2988785,22/11/2025 08:36
22.5903568,120.2856592,22/11/2025 08:47
22.6134413,120.2687181,22/11/2025 08:59
22.6137548,120.2689241,22/11/2025 09:00
22.6126314,120.2682422,22/11/2025 09:16
22.6106023,120.2676805,22/11/2025 09:26
22.6101094,120.2678375,22/11/2025 09:43
22.6099173,120.2678114,22/11/2025 09:59
22.6114408,120.267583,22/11/2025 10:14
22.6140633,120.2695088,22/11/2025 10:30
22.6142827,120.2699195,22/11/2025 10:45
22.6193515,120.2695672,22/11/2025 10:51
22.6213683,120.2738385,22/11/2025 11:01
22.6213095,120.2748088,22/11/2025 11:03
22.6313164,120.3040882,22/11/2025 11:16
22.6145085,120.3063955,22/11/2025 11:32
22.615381,120.3068557,22/11/2025 11:41
22.6155938,120.3067911,22/11/2025 11:44
22.6154979,120.3068604,22/11/2025 11:56
22.6156011,120.3067703,22/11/2025 11:59
22.6155923,120.3068216,22/11/2025 11:59
22.6156018,120.3067772,22/11/2025 12:14
22.6155593,120.3067656,22/11/2025 12:17
22.6155197,120.3067978,22/11/2025 12:35
22.6155644,120.3068016,22/11/2025 12:36
22.6155644,120.3068016,22/11/2025 12:36
22.6155994,120.3067716,22/11/2025 12:51
22.615558,120.3068065,22/11/2025 13:06
22.6155871,120.3067694,22/11/2025 13:06
22.6154241,120.3068218,22/11/2025 13:12
22.6155743,120.3067965,22/11/2025 15:55
22.615562,120.3067984,22/11/2025 15:55
22.615562,120.3067984,22/11/2025 15:55
22.6155981,120.3067778,22/11/2025 16:10
22.6155965,120.3067779,22/11/2025 16:10
22.615603,120.3067738,22/11/2025 16:14
22.6155649,120.3068785,22/11/2025 16:14
22.6155555,120.3067996,22/11/2025 16:25
22.6155614,120.3068003,22/11/2025 16:40
22.6155879,120.3067831,22/11/2025 16:56
22.6155516,120.3068099,22/11/2025 22:58
22.6154902,120.3071253,22/11/2025 23:02
22.6154902,120.3071253,22/11/2025 23:05
22.6155556,120.3068028,22/11/2025 23:14
22.6156379,120.3067564,22/11/2025 23:29
22.6155498,120.3068043,22/11/2025 23:29
22.6156002,120.3067717,22/11/2025 23:44
22.6155965,120.3067782,22/11/2025 23:59
22.6155975,120.3067795,23/11/2025 00:00
22.6155407,120.3068276,23/11/2025 00:00
22.6155983,120.3067743,23/11/2025 00:14
22.6155991,120.3067772,23/11/2025 00:24
22.6155763,120.306806,23/11/2025 00:24
22.6155537,120.3067969,23/11/2025 00:29
22.6155992,120.3067731,23/11/2025 00:45
22.9029356,120.2973133,23/11/2025 02:10
22.9029356,120.2973133,23/11/2025 02:12
23.3572259,120.3275212,23/11/2025 02:26
23.4260886,120.4318182,23/11/2025 03:34
23.4436705,120.5420362,23/11/2025 03:49
23.4391344,120.6051046,23/11/2025 04:04
23.4687125,120.7179305,23/11/2025 05:10
23.4687125,120.7179305,23/11/2025 05:12
23.4909727,120.767349,23/11/2025 05:31
23.512169,120.8035024,23/11/2025 06:09
23.5122858,120.8038241,23/11/2025 06:25
23.5123631,120.8039567,23/11/2025 06:25
23.5102258,120.804296,23/11/2025 06:40
23.5102151,120.8042922,23/11/2025 06:40
23.5109198,120.8041509,23/11/2025 06:59
23.5108455,120.8041187,23/11/2025 07:18
23.5121305,120.8037871,23/11/2025 07:34
23.5121709,120.8038342,23/11/2025 07:50
23.5121183,120.8037869,23/11/2025 08:06
23.5121131,120.8037829,23/11/2025 08:06
23.5106794,120.8047315,23/11/2025 08:28
23.5144844,120.810249,23/11/2025 08:41
23.5167948,120.810946,23/11/2025 08:46
23.5190576,120.8130689,23/11/2025 08:57
23.5189205,120.8140999,23/11/2025 09:01
23.5169753,120.8131892,23/11/2025 09:17
23.5137846,120.8123523,23/11/2025 09:27
23.5133609,120.8094757,23/11/2025 09:38
23.5107741,120.8046476,23/11/2025 09:55
23.5108243,120.8046985,23/11/2025 10:09
23.5121191,120.8037846,23/11/2025 10:40
23.5121133,120.8037849,23/11/2025 10:41
23.5121169,120.8037795,23/11/2025 10:56
23.5121123,120.8037834,23/11/2025 11:05
23.5121123,120.8037834,23/11/2025 11:05
23.5121146,120.8037807,23/11/2025 11:13
23.5121159,120.8037804,23/11/2025 11:20
23.5121079,120.8038089,23/11/2025 11:35
23.5121129,120.8037833,23/11/2025 11:51
23.5121077,120.8037777,23/11/2025 13:07
23.5121077,120.8037777,23/11/2025 13:09
23.5121239,120.8037992,23/11/2025 13:25
23.5121387,120.8037959,23/11/2025 14:09
23.5121226,120.8037998,23/11/2025 14:24
23.5121139,120.8037836,23/11/2025 14:39
23.5121696,120.8038388,23/11/2025 14:54
23.5120244,120.8038177,23/11/2025 15:58
23.5121158,120.8037783,23/11/2025 18:22
23.5121133,120.8037835,23/11/2025 18:37
23.5121107,120.8037822,23/11/2025 21:07
23.512124,120.8037911,23/11/2025 21:22
23.5122905,120.8038172,23/11/2025 21:45
23.512229,120.8040839,23/11/2025 21:46
23.5099709,120.804629,23/11/2025 22:01
23.5099727,120.8046303,23/11/2025 22:01
23.5102714,120.8043637,23/11/2025 22:17
23.5134616,120.811567,23/11/2025 22:23
23.5199374,120.8161874,23/11/2025 22:27
23.5260711,120.8178117,23/11/2025 22:32
23.5101507,120.8230087,23/11/2025 22:47
23.5100845,120.8229555,23/11/2025 22:48
